colonia,Calle,# de casa,Código postal,Unnamed: 4,Coordenadas,Latitud,Longitud
FRACC REAL DEL BOSQUE,BERROCAL,449,45130,zapopan,"(20.7461139, -103.3969141)",20.7461139,-103.3969141
VILLA FONTANA DIAMANTE,FUENTE BRILLANT,1730,45200,zapopan,"(20.7737514, -103.4720222)",20.7737514,-103.4720222
EL BRISE#O,CONSTELACION,7,45236,zapopan,"(20.62282009, -103.43778093)",20.62282009,-103.43778093
EL BATAN,ALCALDE,288,45190,zapopan,"(20.721075, -103.345678)",20.721075,-103.345678
LA AURORA,SALVADOR LOPEZ,1750,44790,Guadalajara,"(20.6494585, -103.3388108)",20.6494585,-103.3388108
FRACC REAL DEL BOSQUE,CALLE CAMPO REA,371,45130,zapopan,"(20.64835492, -103.43806908)",20.64835492,-103.43806908
VISTA HERMOSA,AV VISTA HERMO,3763,45189,zapopan,"(20.7616693, -103.3347796)",20.7616693,-103.3347796
UNIDAD JARDINES SEAT,JARDINES DE LOS,1233,45180,zapopan,"(20.748018, -103.3731032)",20.748018,-103.3731032
MESA COLORADA PTE,NABO,543,45189,zapopan,"(20.763, -103.34626)",20.763,-103.34626
JARDINES DE LA CRUZ,REYES CATOLICOS,2151,44950,Guadalajara,"(20.6484926, -103.3785224)",20.6484926,-103.3785224
HUENTITAN EL BAJO,VOLCAN VIRGEN,182,44250,Guadalajara,"(20.7305924, -103.316844)",20.7305924,-103.316844
BOSQUES D LA CANTERA,PRIV OPALO,17,44306,Guadalajara,"(20.600206, -103.3917429)",20.600206,-103.3917429
SAN ISIDRO EJIDAL,NUEVO MEXICO,250,45147,zapopan,"(20.726598, -103.398205)",20.726598,-103.398205
LA FLORESTA DEL COLLI,BOULEVARD PUERT,26,45116,zapopan,"(20.7159591, -103.41487189)",20.7159591,-103.41487189
VISTA HERMOSA,VISTA BONITA,739,45189,zapopan,"(20.762084, -103.334313)",20.762084,-103.334313
OBLATOS,BATALLA DE IZUC,2508,44700,Guadalajara,"(20.698347, -103.288479)",20.698347,-103.288479
FRACC CUSPIDE,CAMINO AL POTRE,1200,45200,zapopan,"(20.802884, -103.4970855)",20.802884,-103.4970855
REVOLUCION SEGUNDA SECCION,REVOLUCION,51,45200,zapopan,"(20.79241785, -103.50448743)",20.79241785,-103.50448743
VALLARTA SAN JORGE,EUCLIDES,3302,44690,Guadalajara,"(20.6751303, -103.3983219)",20.6751303,-103.3983219
PARAISOS DEL COLLY,GALEANA,1068,45069,zapopan,"(20.6508438, -103.4542078)",20.6508438,-103.4542078
RNDA DE PAZ,ALBANILES,543,44860,Guadalajara,"(20.64808, -103.307708)",20.64808,-103.307708
OBLATOS PONIENTE,HACIENDA DE TAL,2191,44700,Guadalajara,"(20.6966362, -103.30405426)",20.6966362,-103.30405426
VALLE DE LOS MOLINOS,BERNA,75,45200,zapopan,"(20.84900714, -103.42437753)",20.84900714,-103.42437753
12 DE DICIEMBRE,TRUENO,260,45068,zapopan,"(20.6491888, -103.457067)",20.6491888,-103.457067
LINDAVISTA,ALLENDE,216,45169,zapopan,"(20.721194, -103.3988204)",20.721194,-103.3988204
OBLATOS PONIENTE,JUAN PABLO II,3165,44700,Guadalajara,"(20.69490083, -103.3034431)",20.69490083,-103.3034431
BUGAMBILIAS,PASEO DE LA VIC,4952,45238,zapopan,"(20.59412195, -103.469355)",20.59412195,-103.469355
INDEPENDENCIA PTE,ROGELIO BACON,1676,44290,Guadalajara,"(20.7036, -103.3334499)",20.7036,-103.3334499
SAN ANDRES,CALLE B,165,44810,Guadalajara,"(20.66095409, -103.2966265)",20.66095409,-103.2966265
ARTESANOS,INDEPENDENCIA,919,44200,Guadalajara,"(20.678064, -103.356838)",20.678064,-103.356838
OBREROS D L CONSTRUC,ABEDUL,274,44900,Guadalajara,"(20.6545689, -103.3645921)",20.6545689,-103.3645921
PANORAMICA HUENTITAN,CALZADA,4500,44259,Guadalajara,"(20.73838025, -103.31168078)",20.73838025,-103.31168078
GENERAL REAL,MARCONI,17,44400,Guadalajara,"(20.6682228, -103.3242311)",20.6682228,-103.3242311
MIRAVALLE II,PEDRO PATINO,643,44990,Guadalajara,"(20.6069021, -103.3496879)",20.6069021,-103.3496879
DIVISION DEL NORTE,BENEDICTO LOPEZ,399,44230,Guadalajara,"(20.7236763, -103.3371782)",20.7236763,-103.3371782
BALCONES DE OBLATOS,HACIENDA DEL CA,2275,44720,Guadalajara,"(20.68501033, -103.29072903)",20.68501033,-103.29072903
