colonia,Calle,# de casa,Código postal,Unnamed: 4,Coordenadas,Latitud,Longitud
PRADOS  GUADALUPE,G ROSSINI,428,45030,zapopan,"(20.6686337, -103.4349976)",20.6686337,-103.4349976
OBLATOS,BATALLA DE IZUC,2508,44700,Guadalajara,"(20.698347, -103.288479)",20.698347,-103.288479
HDA SAN ISIDRO,LA VILLA,455,45147,zapopan,"(20.7291911, -103.4000505)",20.7291911,-103.4000505
FRACC HACIENDA LAS PALOMAS,CALLE DEL AGUA,365,45200,zapopan,"(20.79643279, -103.49476716)",20.79643279,-103.49476716
VILLA DE GUADALUPE II,PABLO HIPOLITO,45,45189,zapopan,"(20.75594155, -103.33828395)",20.75594155,-103.33828395
18 DE MARZO,FAJA DE ORO,1783,44960,Guadalajara,"(20.6350123, -103.3779206)",20.6350123,-103.3779206
ZALATE II,OTILIO GONZALEZ,1116,44760,Guadalajara,"(20.679092, -103.2750349)",20.679092,-103.2750349
1RO DE MAYO 1A SECCI,CARLOS A CARRIL,527,44970,Guadalajara,"(20.6230026, -103.3552397)",20.6230026,-103.3552397
NUEVO MEXICO,COPALITA,2711,45138,zapopan,"(20.7647307, -103.43970355)",20.7647307,-103.43970355
VALLARTA SAN JORGE,TUCIDIDES,156,44690,Guadalajara,"(20.678198, -103.3960161)",20.678198,-103.3960161
AMERICANA,MEXICALLTZINGO,1944,44160,Guadalajara,"(20.668444, -103.3673828)",20.668444,-103.3673828
POLANQUITO,MIGUEL MACIAS,3653,44969,Guadalajara,"(20.618594, -103.37202)",20.618594,-103.37202
VILLA FONTANA DIAMANTE,AV LAS TORRES,1896,45200,zapopan,"(20.77988405, -103.47172117)",20.77988405,-103.47172117
OBLATOS PONIENTE,HACIENDA DE TAL,2191,44700,Guadalajara,"(20.6966362, -103.30405426)",20.6966362,-103.30405426
JARDINES DEL VERGEL,JARDIN DE NARDO,1527,45180,zapopan,"(20.7437494, -103.3705966)",20.7437494,-103.3705966
HOGARES GUADALAJARA,CIRCUNVALACION,258,44340,Guadalajara,"(20.690509, -103.328187)",20.690509,-103.328187
LA HACIENDITA,SAN MARTIN,2341,45230,zapopan,"(20.6139723, -103.4511535)",20.6139723,-103.4511535
5 DE MAYO,RAMON MARQUEZ,362,44970,Guadalajara,"(20.6248619, -103.3530199)",20.6248619,-103.3530199
EL HUMEDO,RIO ACAPONETA,2,45200,zapopan,"(20.79223045, -103.49079055)",20.79223045,-103.49079055
"FRACC, LOS MOLINOS",CTO OBSIDIANA,39,45200,zapopan,"(20.8474682, -103.4229366)",20.8474682,-103.4229366
MORELOS,CISNE,1332,44910,Guadalajara,"(20.6543829, -103.359092)",20.6543829,-103.359092
VALLARTA SAN JORGE,EUCLIDES,3302,44690,Guadalajara,"(20.6751303, -103.3983219)",20.6751303,-103.3983219
FRACC PALERMO,MARINA,204,45200,zapopan,"(20.73853175, -103.41857844)",20.73853175,-103.41857844
LOMAS DE POLANCO,RAMON ALCORTA,1597,44960,Guadalajara,"(20.6305508, -103.3684773)",20.6305508,-103.3684773
REAL DE TESISTAN,PRIVADA EMILIAN,28,45200,zapopan,"(20.79364007, -103.4744717)",20.79364007,-103.4744717
AYUNTAMIENTO,BERNARDO DE BAL,1170,44620,Guadalajara,"(20.695428, -103.369627)",20.695428,-103.369627
U. H. BENITO JUAREZ II,CREDITO,4049,44770,Guadalajara,"(20.6661078, -103.2755658)",20.6661078,-103.2755658
SANTA MARIA,SAN MATEO,1407,44350,Guadalajara,"(20.6879689, -103.3157451)",20.6879689,-103.3157451
EL CENTRO,JUAREZ,400,44100,Guadalajara,"(20.6751683, -103.348691)",20.6751683,-103.348691
MESA DE LOS OCOTES,BETABEL,23,45189,zapopan,"(20.761285, -103.3483833)",20.761285,-103.3483833
RESIDENCIAL LA CRUZ,ISLA ABACO,3086,44950,Guadalajara,"(20.637418, -103.37829)",20.637418,-103.37829
HIGUERILLAS,MARIANO RODRIGU,2669,44470,Guadalajara,"(20.632835, -103.349006)",20.632835,-103.349006
VICENTE GUERRERO,C CEDROS,15,45134,zapopan,"(20.76620138, -103.44005896)",20.76620138,-103.44005896
TIERRA RESIDENCIAL,SAN MATEO,2010,45200,zapopan,"(20.8026474, -103.4705006)",20.8026474,-103.4705006
TETLAN,AURELIA GUEVARA,3518,44820,Guadalajara,"(20.6555499, -103.2887908)",20.6555499,-103.2887908
PRADOS TEPEYAC,PRADO DE LAS RO,308,45050,zapopan,"(20.65714869, -103.41220962)",20.65714869,-103.41220962
TALPITA,SANTO TOMAS,1786,44719,Guadalajara,"(20.68355178, -103.31008927)",20.68355178,-103.31008927
LA MOJONERA,DE BARAJAS,425,45134,zapopan,"(20.78831785, -103.45075595)",20.78831785,-103.45075595
LOMAS DE MIRAMAR,PUERTO CHAMELA,314,45060,zapopan,"(20.63579117, -103.44676658)",20.63579117,-103.44676658
SAN RAFAEL,CARLOS GONZALEZ,280,44810,Guadalajara,"(20.6571099, -103.2966291)",20.6571099,-103.2966291
PROGRESO,FRANCISCO SARAB,235,44730,Guadalajara,"(20.67045214, -103.30540319)",20.67045214,-103.30540319
BENITO JUAREZ,JUAN MANUEL RUV,1992,45199,Guadalajara,"(20.73358345, -103.33812714)",20.73358345,-103.33812714
TABACHINES,PASEO DE LOS AV,3101,45188,zapopan,"(20.74001503, -103.36295622)",20.74001503,-103.36295622
ARANDAS,HACIENDA DEL CO,3363,44720,Guadalajara,"(20.69041905, -103.28173759)",20.69041905,-103.28173759
MIRAVALLE II,HERMENEGILDO BU,4308,44990,Guadalajara,"(20.6127044, -103.3450677)",20.6127044,-103.3450677
CIUDAD DEL SOL,QUETZALCOATL,232,45050,zapopan,"(20.6492751, -103.4071483)",20.6492751,-103.4071483
LA VENTA DEL ASTILLE,JILGEROS,33,45221,zapopan,"(20.7322419, -103.53937)",20.7322419,-103.53937
LOMAS DEL PRADERO,AV PRESIDENTE,2235,44840,Guadalajara,"(20.648519, -103.3130901)",20.648519,-103.3130901
VALENTIN GOMEZ FARIA,JUAN DE DIOS CO,12,44977,Guadalajara,"(20.6166636, -103.36543282)",20.6166636,-103.36543282
ECHEVERRIA,JOSE ARTEAGA,2985,44970,Guadalajara,"(20.6256719, -103.366909)",20.6256719,-103.366909
PARQUE INDUST EL ALA,FUNDICION,2131,44490,Guadalajara,"(20.6266889, -103.3338499)",20.6266889,-103.3338499
JARDINES DEL NILO,MANUEL RIVERA C,2818,44860,Guadalajara,"(20.6459499, -103.3015471)",20.6459499,-103.3015471
OBLATOS PONIENTE,HACIENDA LA PUR,2415,44700,Guadalajara,"(20.68863467, -103.29409087)",20.68863467,-103.29409087
RINCONADA DE HUENTITAN,JOSE MARIA CANA,5128,44250,Guadalajara,"(20.731589, -103.324636)",20.731589,-103.324636
VALLE REAL,AV RAMON CORONA,2748,45019,zapopan,"(20.735422, -103.459965)",20.735422,-103.459965
"FRACC, LOS MOLINOS",PLATA,70,45200,zapopan,"(20.84836438, -103.42263338)",20.84836438,-103.42263338
NUEVO MEXICO,6 DE ENERO,3239,45138,zapopan,"(20.75714709, -103.43247582)",20.75714709,-103.43247582
SAN VICENTE,MONTES MARCIANO,2173,44330,Guadalajara,"(20.70378, -103.3159849)",20.70378,-103.3159849
VILLA FONTANA DIAMANTE,ARENISCA,1896,45200,zapopan,"(20.77988405, -103.47172117)",20.77988405,-103.47172117
FRACC JARDINES DE BELEN,TORONJA,41,45200,zapopan,"(20.8124, -103.4826)",20.8124,-103.4826
CANTARRANAS,MIGUEL BERNAL,3327,44829,Guadalajara,"(20.65865637, -103.2906591)",20.65865637,-103.2906591
COLINAS D LA PRIMAVE,CASCADA,147,45066,zapopan,"(20.637151, -103.4700562)",20.637151,-103.4700562
COLINAS DE ATEMAJAC,AV AURELIO ORTE,1176,45170,zapopan,"(20.7213469, -103.3671295)",20.7213469,-103.3671295
COPALITA,AV AMARANTO,175,45200,zapopan,"(20.80876206, -103.45177613)",20.80876206,-103.45177613
EL BATAN,ALCALDE,288,45190,zapopan,"(20.721075, -103.345678)",20.721075,-103.345678
FRACC CUSPIDE,VALLE DE TESIST,198,45200,zapopan,"(20.795812, -103.4822218)",20.795812,-103.4822218
FRACC REAL DEL BOSQUE,BERROCAL,449,45130,zapopan,"(20.7461139, -103.3969141)",20.7461139,-103.3969141
MIRAVALLE,MAURICIO CAMPOS,512,44990,Guadalajara,"(20.6094738, -103.3478201)",20.6094738,-103.3478201
U H EL ZALATE,JOSE FERNANDEZ,1123,44760,Guadalajara,"(20.6790637, -103.2732273)",20.6790637,-103.2732273
18 DE MARZO,NATIVIDAD MACIA,1326,44960,Guadalajara,"(20.6332169, -103.3695316)",20.6332169,-103.3695316
DIVISION DEL NORTE,BENEDICTO LOPEZ,399,44230,Guadalajara,"(20.7236763, -103.3371782)",20.7236763,-103.3371782
PARQUES DE ZAPOPAN,OPALO,14,45138,zapopan,"(20.7473862, -103.4188519)",20.7473862,-103.4188519
ARENALES TAPATIOS,CROMITA,69,45066,zapopan,"(20.633538, -103.4592391)",20.633538,-103.4592391
MARAVILLA,HACIENDA DE GUA,1124,44700,Guadalajara,"(20.7016579, -103.306797)",20.7016579,-103.306797
EL CARMEN,FRANCISCO MARCO,2616,44980,Guadalajara,"(20.6231889, -103.3850919)",20.6231889,-103.3850919
PRADOS TEPEYAC,PRADO DE LAS GA,4468,45050,zapopan,"(20.654827, -103.413214)",20.654827,-103.413214
