colonia,Calle,# de casa,Código postal,Unnamed: 4,Coordenadas,Latitud,Longitud
VILLA UNIVESITARIA,AV PATRIA,1446,45110,zapopan,"(20.6974505, -103.4156311)",20.6974505,-103.4156311
PENAL,PEDRO CELESTINO,482,44730,Guadalajara,"(20.678154, -103.319812)",20.678154,-103.319812
PARQUE REVOLUCION,AV MIGUEL HIDAL,469,44100,Guadalajara,"(20.6772002, -103.3492192)",20.6772002,-103.3492192
BARRANQUITAS,PINO SUAREZ,879,44270,Guadalajara,"(20.6901934, -103.346581)",20.6901934,-103.346581
MIRAVALLE,JOSE JARAMILLO,526,44990,Guadalajara,"(20.6156665, -103.3528171)",20.6156665,-103.3528171
ECHEVERRIA,JOSE ARTEAGA,2985,44970,Guadalajara,"(20.6256719, -103.366909)",20.6256719,-103.366909
SANTA TERESITA,ALFREDO CHAVERO,16,44600,Guadalajara,"(20.683706, -103.368627)",20.683706,-103.368627
OBLATOS,AV JUAN PABLO L,3165,44700,Guadalajara,"(20.6998021, -103.291066)",20.6998021,-103.291066
EL ARENAL,PROLONGACION SA,43,45350,zapopan,"(20.7781097, -103.69340721)",20.7781097,-103.69340721
TETLAN,GIGANTES,108,44820,Guadalajara,"(20.65942035, -103.2728094)",20.65942035,-103.2728094
PASEOS DEL SOL,TOMAS BALCAZAR,5404,45079,zapopan,"(20.637128, -103.427021)",20.637128,-103.427021
VILLA DE GUADALUPE II,PABLO HIPOLITO,45,45189,zapopan,"(20.75594155, -103.33828395)",20.75594155,-103.33828395
LADRON DE GUEVARA,AVENIDA MEXICO,2582,44600,Guadalajara,"(20.679539, -103.3821471)",20.679539,-103.3821471
VILLA VICENTE GUERRE,ISLA USTICA,3318,44860,Guadalajara,"(20.632482, -103.395812)",20.632482,-103.395812
RESIDENCIAL GUADALUP,MISION SAN PATR,350,45030,zapopan,"(20.6538728, -103.4331985)",20.6538728,-103.4331985
VILLA FONTANA DIAMANTE,FUENTE BRILLANT,1730,45200,zapopan,"(20.7737514, -103.4720222)",20.7737514,-103.4720222
EL COLLY URBANO I,VOLCAN VESUBIO,2321,45070,zapopan,"(20.6413426, -103.4276583)",20.6413426,-103.4276583
EL BRISE#O,CONSTELACION,7,45236,zapopan,"(20.62282009, -103.43778093)",20.62282009,-103.43778093
OBLATOS PONIENTE,HACIENDA DE TAL,2191,44700,Guadalajara,"(20.6966362, -103.30405426)",20.6966362,-103.30405426
