colonia,Calle,# de casa,Código postal,Unnamed: 4,Coordenadas,Latitud,Longitud
PARAISOS DEL COLLY,GALEANA,1068,45069,zapopan,"(20.6508438, -103.4542078)",20.6508438,-103.4542078
MESA COLORADA PTE,DELLI,1825,45189,zapopan,"(20.7704348, -103.3478953)",20.7704348,-103.3478953
PARQUES DE ZAPOPAN,OPALO,14,45138,zapopan,"(20.7473862, -103.4188519)",20.7473862,-103.4188519
REAL DE TESISTAN,PASEO DE LA ARB,176,45200,zapopan,"(20.78520695, -103.47614185)",20.78520695,-103.47614185
PENAL,PEDRO CELESTINO,482,44730,Guadalajara,"(20.678154, -103.319812)",20.678154,-103.319812
EL BRISE#O,CONSTELACION,7,45236,zapopan,"(20.62282009, -103.43778093)",20.62282009,-103.43778093
SAN VICENTE,MONTES MARCIANO,2173,44330,Guadalajara,"(20.70378, -103.3159849)",20.70378,-103.3159849
FRACC PALERMO,MARINA,204,45200,zapopan,"(20.73853175, -103.41857844)",20.73853175,-103.41857844
CONJ LOMAS ALTAS,PASEO DEL ARCO,4098,45128,zapopan,"(20.6859952, -103.4110242)",20.6859952,-103.4110242
FRACC CUSPIDE,VALLE DE TESIST,198,45200,zapopan,"(20.795812, -103.4822218)",20.795812,-103.4822218
EL COLLY URBANO I,MELCHOR OCAMPO,1233,45070,zapopan,"(20.6449026, -103.4405377)",20.6449026,-103.4405377
BOSQUE ESCONDIDO,PASEO DE LOS AL,10,45180,zapopan,"(20.73551135, -103.35496091)",20.73551135,-103.35496091
CIUDAD GRANJA,CALZ DE LOS LA,164,45010,zapopan,"(20.6849754, -103.4518055)",20.6849754,-103.4518055
ELECTRICISTAS,RAMOS ARIZPE,451,44810,Guadalajara,"(20.653829, -103.3106468)",20.653829,-103.3106468
RESIDENCIAL GUADALUP,MISION SAN PATR,350,45030,zapopan,"(20.6538728, -103.4331985)",20.6538728,-103.4331985
LA AURORA,JARDINES DE BAB,20,44790,Guadalajara,"(20.663892, -103.278645)",20.663892,-103.278645
U H FOVISSSTE ESTADI,LISBOA,28,44307,Guadalajara,"(20.7108869, -103.3308462)",20.7108869,-103.3308462
BEATRIZ HERNANDEZ,GAZA,1333,44760,Guadalajara,"(20.681007, -103.2865761)",20.681007,-103.2865761
JARDINES DE LA CRUZ,ISLA MADAGASCAR,3111,44950,Guadalajara,"(20.63864, -103.386237)",20.63864,-103.386237
MIRAVALLE II,PEDRO PATINO,643,44990,Guadalajara,"(20.6069021, -103.3496879)",20.6069021,-103.3496879
JARDINES DE LA PAZ,TEJEDORES,569,44860,Guadalajara,"(20.647502, -103.3072318)",20.647502,-103.3072318
ALTAMIRA,AV AMERICA,580,45160,zapopan,"(20.71484895, -103.38770096)",20.71484895,-103.38770096
LA PALMITA,MANUEL GONZALEZ,518,45180,zapopan,"(20.7300639, -103.358865)",20.7300639,-103.358865
INF LA TUZANIA,CAPULINES,40,45138,zapopan,"(20.731825, -103.418699)",20.731825,-103.418699
FRACC CUSPIDE,SAN MATEO 1155,27,45200,zapopan,"(20.800514, -103.471556)",20.800514,-103.471556
