colonia,Calle,# de casa,Código postal,Unnamed: 4,Coordenadas,Latitud,Longitud
VALLE REAL,AV RAMON CORONA,2748,45019,zapopan,"(20.735422, -103.459965)",20.735422,-103.459965
PRADOS  GUADALUPE,G ROSSINI,428,45030,zapopan,"(20.6686337, -103.4349976)",20.6686337,-103.4349976
TABACHINES,PASEO DE LOS AV,3101,45188,zapopan,"(20.74001503, -103.36295622)",20.74001503,-103.36295622
SANTA ELENA,ASTURIAS,1581,44230,Guadalajara,"(20.7145639, -103.337542)",20.7145639,-103.337542
LA LOMA,LUIS PAEZ BROTC,1574,44410,Guadalajara,"(20.6603006, -103.3213277)",20.6603006,-103.3213277
LOS ROBLES,CALLE LOS ROBLE,395,45134,zapopan,"(20.750918, -103.42080655)",20.750918,-103.42080655
VALLE REAL,PASEO SAN ARTUR,685,45019,zapopan,"(20.72031966, -103.45390303)",20.72031966,-103.45390303
OBLATOS,BATALLA DE IZUC,2508,44700,Guadalajara,"(20.698347, -103.288479)",20.698347,-103.288479
PANORAMICA HUENTITAN,CALZADA,4500,44259,Guadalajara,"(20.73838025, -103.31168078)",20.73838025,-103.31168078
BLANCO Y CUELLAR,EMILIO RABAZA,2132,44730,Guadalajara,"(20.67964, -103.3047158)",20.67964,-103.3047158
SAN ANDRES,AVELINO M PRESA,3335,44810,Guadalajara,"(20.661081, -103.2907359)",20.661081,-103.2907359
JARDINES  DEL BOSQUE,PLACERES,806,44520,zapopan,"(20.6650289, -103.3922401)",20.6650289,-103.3922401
RINCONADA DL AUDITOR,ALBERTO CINTA,39,45180,zapopan,"(20.7367901, -103.3424097)",20.7367901,-103.3424097
NUEVO MEXICO,6 DE ENERO,3239,45138,zapopan,"(20.75714709, -103.43247582)",20.75714709,-103.43247582
BOSQUES D L VICTORIA,FAUNA,2765,44540,Guadalajara,"(20.644029, -103.388121)",20.644029,-103.388121
SAN VICENTE,PUERTO SOTO LA,2280,44330,Guadalajara,"(20.7045566, -103.314453)",20.7045566,-103.314453
HUENTITAN EL BAJO,VOLCAN MAIPO,340,44250,Guadalajara,"(20.7417459, -103.3154301)",20.7417459,-103.3154301
SAN JUAN DE OCOTAN,MIGUEL MIRAMON,13,45019,zapopan,"(20.764462, -103.452206)",20.764462,-103.452206
RANCHO NUEVO,DOMINGO RAMIRE,1150,44240,Guadalajara,"(20.7208786, -103.3313266)",20.7208786,-103.3313266
LA PERLA,PEDRO LANDAZURI,733,44360,Guadalajara,"(20.682905, -103.33238)",20.682905,-103.33238
LA VENTA DEL ASTILLE,JILGEROS,33,45221,zapopan,"(20.7322419, -103.53937)",20.7322419,-103.53937
AMERICANA,COLONIAS,221,44160,Guadalajara,"(20.68326, -103.383923)",20.68326,-103.383923
FRACC LOS PINOS,AV  COMPOSITORE,3850,45120,zapopan,"(20.6046765, -103.4348944)",20.6046765,-103.4348944
FRACC REAL DEL BOSQUE,BERROCAL,449,45130,zapopan,"(20.7461139, -103.3969141)",20.7461139,-103.3969141
COUNTRY CLUB,AV JORGE ALVARE,1535,44610,Guadalajara,"(20.7037391, -103.3652489)",20.7037391,-103.3652489
PENAL,PEDRO CELESTINO,482,44730,Guadalajara,"(20.678154, -103.319812)",20.678154,-103.319812
ZALATE II,OTILIO GONZALEZ,1116,44760,Guadalajara,"(20.679092, -103.2750349)",20.679092,-103.2750349
REVOLUCION SEGUNDA SECCION,REVOLUCION,51,45200,zapopan,"(20.79241785, -103.50448743)",20.79241785,-103.50448743
HERMOSA PROVIN ZO TE,TELEFONISTAS,3331,44770,Guadalajara,"(20.6684139, -103.2855688)",20.6684139,-103.2855688
RESID LAS ARBOLEDAS,AURORA BOREAL N,4170,45070,zapopan,"(20.6282461, -103.4284541)",20.6282461,-103.4284541
BATALLON SN PATRICIO,CALZADA INDEPEN,503,44300,Guadalajara,"(20.71436167, -103.3128224)",20.71436167,-103.3128224
SAN ANDRES,GOMEZ FARIAS,2319,44810,Guadalajara,"(20.66032405, -103.2988143)",20.66032405,-103.2988143
BOSQUES D LA CANTERA,PRIV OPALO,17,44306,Guadalajara,"(20.600206, -103.3917429)",20.600206,-103.3917429
AGRICOLA,OBELISCO,138,45236,zapopan,"(20.616065, -103.432436)",20.616065,-103.432436
BARRIO ANALCO,ABASOLO,147,44450,Guadalajara,"(20.67168319, -103.33956176)",20.67168319,-103.33956176
JARDINES DEL COUNTRY,ENRIQUE DIAZ DE,2336,44210,Guadalajara,"(20.70909855, -103.36048462)",20.70909855,-103.36048462
TALPITA,SANTO TOMAS,1786,44719,Guadalajara,"(20.68355178, -103.31008927)",20.68355178,-103.31008927
ARENALES TAPATIOS,DIAMANTE,114,45066,zapopan,"(20.6339582, -103.4563939)",20.6339582,-103.4563939
EL BATAN,ANDADOR AGUA AZ,44,45190,zapopan,"(20.61111421, -103.36993169)",20.61111421,-103.36993169
TETLAN,GIGANTES,108,44820,Guadalajara,"(20.65942035, -103.2728094)",20.65942035,-103.2728094
